Noncandidate Committee Name,Candidate Name,CC Reg No,Candidate Committee Name,Date,Amount,Non-Monetary (Yes or No),Reg No,Election Period,Office,District,County,Party
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,03/31/2016,$1.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,03/31/2016,$100.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,03/31/2016,$50.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,04/03/2016,$100.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,04/03/2016,$100.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,04/03/2016,$100.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,04/10/2016,$100.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,05/01/2016,$250.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,05/22/2016,$100.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,05/22/2016,$50.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,06/12/2016,$25.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,06/19/2016,$25.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Aki, Zurishaddai",CC11230,Z's Super Friends,06/30/2016,$25.00,N,NC20302,2014-2016,House,36,,Democrat
ActBlue Hawaii,"Baker, Rosalyn",CC10135,Friends of Rosalyn Baker,05/10/2015,$250.00,N,NC20302,2014-2016,Senate,6,,Democrat
ActBlue Hawaii,"Baker, Rosalyn",CC10135,Friends of Rosalyn Baker,05/24/2015,$200.00,N,NC20302,2014-2016,Senate,6,,Democrat
ActBlue Hawaii,"Baker, Rosalyn",CC10135,Friends of Rosalyn Baker,09/27/2015,$250.00,N,NC20302,2014-2016,Senate,6,,Democrat
ActBlue Hawaii,"Baker, Rosalyn",CC10135,Friends of Rosalyn Baker,02/14/2016,$1000.00,N,NC20302,2014-2016,Senate,6,,Democrat
ActBlue Hawaii,"Baker, Rosalyn",CC10135,Friends of Rosalyn Baker,02/28/2016,$500.00,N,NC20302,2014-2016,Senate,6,,Democrat
ActBlue Hawaii,"Baker, Rosalyn",CC10135,Friends of Rosalyn Baker,06/19/2016,$100.00,N,NC20302,2014-2016,Senate,6,,Democrat
ActBlue Hawaii,"English, Kalani",CC10140,J. Kalani English Election Committee,08/23/2015,$250.00,N,NC20302,2014-2016,Senate,7,,Democrat
ActBlue Hawaii,"Farrell, David",CC11313,Friends of David Farrell,06/26/2016,$5.00,N,NC20302,2014-2016,Senate,10,,Democrat
ActBlue Hawaii,"Farrell, David",CC11313,Friends of David Farrell,06/26/2016,$50.00,N,NC20302,2014-2016,Senate,10,,Democrat
ActBlue Hawaii,"Farrell, David",CC11313,Friends of David Farrell,06/26/2016,$100.00,N,NC20302,2014-2016,Senate,10,,Democrat
ActBlue Hawaii,"Farrell, David",CC11313,Friends of David Farrell,06/26/2016,$30.00,N,NC20302,2014-2016,Senate,10,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/17/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$20.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$20.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$1000.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$20.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$3.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$20.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$50.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$27.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$20.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,04/24/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/01/2016,$20.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/01/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/01/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/01/2016,$50.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/15/2016,$10.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/22/2016,$100.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/22/2016,$50.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/22/2016,$50.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/22/2016,$27.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/29/2016,$1.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/29/2016,$30.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/29/2016,$20.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,05/29/2016,$1.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/05/2016,$500.00,N,NC20302,2014-2016,House,40,,Democrat
ActBlue Hawaii,"Gonce, Randy",CC11247,Friends of Randy Gonce,06/12/2016,$25.00,N,NC20302,2014-2016,House,40,,Democrat
