Reg No,NC Type,Noncandidate Committee Name,Chairperson Name,Chair Occupation,Chair Principal Place of Business,Treasurer Name,Treasurer Occupation,Treasurer Principal Place of Business,"Area, Scope, or Jurisdiction",Political Party,Ballot Issue Description,Single Candidate Name,Terminated,Filing Date
NC20412,Standard,"808 Hits, LLC","Ioane, Abbie ",Self Employed,Waipahu,"Ioane, Abbie ",Self Employed,Waipahu,Business / General Commerce,,,,Y,01/30/2014
NC20197,Standard,8th Senatorial District ,"Rosebrough, Cynthia J. ",retired,N/A,"Baker, Margaret K. ",retired,N/A,Other,,,,Y,08/25/2008
NC20313,Standard,A Better Hawaii PAC ,"Racine, Christopher J. ",INTERNET/BROADCASTING,"875 WAIMANU STREET, SUITE 640, HONOLULU, HI 96813","Sandlin, Diane M. ",CPA-ACCOUNTANT,ABOVE,Single Candidate,,,BENJAMIN CAYETANO,Y,03/15/2012
NC20001,Standard,"A-1 A-lectrician, Inc.","Yamada, James T. Jr.",CEO,"A-1 A-Lectrician, Inc.","Yamada, James T. Jr.",CEO,"A-1 A-Lectrician, Inc.",Construction,,,,N,09/08/2008
NC20002,Standard,Abercrombie for Congress ,"Kaneko, William ",Attorney,"Honolulu, Hawaii","Endo, Jack Y. ",CPA,"Honolulu, Hawaii",Other,,,,Y,08/14/2008
NC20247,Standard,Abercrombie for Congress ,"Kaneko, William ",Attorney,"Honolulu, HI","Agbayani, Amefil ",CPA,"Honolulu, HI",Other,,,,Y,02/24/2009
NC20028,Standard,Ace Land Surveying LLC ,"Kea, Kevin K. ",President,Ace Land Surveying LLC,"Aquino-Lacio, Destiney ",Executive Administrator,Ace Land Surveying LLC,Architect / Engineer,,,,Y,01/28/2009
NC20302,Standard,ActBlue Hawaii,"Gold, Steven M. ",General Counsel,ActBlue,"Hill, Erin M. ",Executive Director,ActBlue,Other,,,,N,06/30/2011
NC20003,Standard,Advocates PAC ,"Toyofuku, Robert S. ",President,"Honolulu, HI","Kobayashi, Joy K. ",Employee,"Honolulu, HI",Other,,,,Y,09/08/2008
NC20004,Standard,"AES Design Group, Inc. (The) ","Yee, Dexter ",Engineer,"Aiea, Hawaii","Yee, Dexter ",Engineer,"Aiea, Hawaii",Architect / Engineer,,,,Y,06/20/2008
NC20343,Independent Expenditure,AiKea UNITE HERE,"McGurn, Michael A. ",Maintenance ,Hilton Hawaiian Village,"Milton, Susan E. ",Executive Assistant,Local 5,Other,,,,N,06/24/2012
NC20506,Standard,Aiona Car Sales,"Aiona, Pat G. ",Service Director,Aiona Car Sales---Hilo,"Aiona, Pat G. ",Service Director,Aiona Car Sales--Hilo,Transportation,,,,Y,10/21/2014
NC20006,Standard,"Airport Electronics, Inc ","Mihara, Robert K. ",CPA,"Robert K. Mihara, CPA","Mihara, Robert K. ",CPA,"Robert  K. Mihara, CPA",Other,,,,Y,09/04/2008
NC20494,Standard,Aiwohi Bros. Inc.,"Aiwohi, Angelique ",PRES,91-1600 WAHANE ST,"Aiwohi, Angelique ",PRES,91-1600 WAHANE ST,Transportation,,,,Y,10/01/2014
NC20007,Standard,"Alexander & Baldwin, Inc. HiPAC","Ching, Meredith J. ",Chairperson,Honolulu,"Oshiro, Paul T. ",Treasurer,Honolulu,Other,,,,N,06/20/2008
NC20588,Standard,Alliance for Solar Choice (TASC) (The),"Walovich, Gracie ",Associate,The Alliance for Solar Choice (TASC),"Trombley, Kelly ",Associate,The Alliance for Solar Choice (TASC),Energy / Utility,,,,N,09/18/2015
NC20556,Standard,Allstate Insurance Company,"Vainisi, William A. ",Senior Vice President and Deputy General Counsel,Allstate Insurance Company,"Rizzo, Mario ",Senior Vice President,Allstate Insurance Company,Insurance,,,,N,11/06/2015
NC20008,Standard,Allstate Insurance Company PAC,"Vainisi, William A. ","SVP, Asst. General Counsel and Assistant Secretary","Allstate, Northbrook, IL","Rizzo, Mario ",Senior Vice President and Treasurer,"Allstate, Northbrook, IL",Insurance,,,,N,06/18/2008
NC20274,Standard,Aloha Family Alliance,"Gerakas, Andrew J. ",Clergyman,"4524 Waikui St., Honolulu, HI 96821","Hee, Diane ",office manager,"1221 Kapiolani Blvd., #600, Honolulu, 96814",Education,,,,N,07/29/2010
